folder,input_size,time_single,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,output_single
svt_max,19,TIMEOUT,0.5,0.001,example_19.dip,3,2.9,2,20,11.45,2,20,20,19,10.45,1,3.2139647006988525,,N/A
svt_max,25,TIMEOUT,0.5,0.001,example_25.dip,3,2.923076923076923,2,26,14.461538461538462,2,26,26,25,13.461538461538462,1,3.1949990590413413,,N/A
svt_max,24,TIMEOUT,0.5,0.001,example_24.dip,3,2.92,2,25,13.96,2,25,25,24,12.96,1,4.615719636281331,,N/A
svt_max,18,TIMEOUT,0.5,0.001,example_18.dip,3,2.8947368421052633,2,19,10.947368421052632,2,19,19,18,9.947368421052632,1,3.2413286368052163,,N/A
svt_max,8,303.3488392829895,0.5,0.001,example_8.dip,3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_max,9,447.49786527951557,0.5,0.001,example_9.dip,3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_max,16,TIMEOUT,0.5,0.001,example_16.dip,3,2.8823529411764706,2,17,9.941176470588236,2,17,17,16,8.941176470588236,1,3.2758363087972007,,N/A
svt_max,4,42.28440006573995,0.5,0.001,example_4.dip,3,2.6,2,5,3.8,2,5,5,4,2.8,1,371.2998853524526,"{ ""DP"": -1}","{ ""DP"": 1}"
svt_max,5,78.02393492062886,0.5,0.001,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_max,17,TIMEOUT,0.5,0.001,example_17.dip,3,2.888888888888889,2,18,10.444444444444445,2,18,18,17,9.444444444444445,1,3.1757322947184243,,N/A
svt_max,15,TIMEOUT,0.5,0.001,example_15.dip,3,2.875,2,16,9.4375,2,16,16,15,8.4375,1,3.097736358642578,,N/A
svt_max,7,257.23798028628033,0.5,0.001,example_7.dip,3,2.75,2,8,5.375,2,8,8,7,4.375,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_max,6,136.61749521891275,0.5,0.001,example_6.dip,3,2.7142857142857144,2,7,4.857142857142857,2,7,7,6,3.857142857142857,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_max,14,TIMEOUT,0.5,0.001,example_14.dip,3,2.8666666666666667,2,15,8.933333333333334,2,15,15,14,7.933333333333334,1,2.877394755681356,,N/A
svt_max,10,TIMEOUT,0.5,0.001,example_10.dip,3,2.8181818181818183,2,11,6.909090909090909,2,11,11,10,5.909090909090909,1,3.5831770102183023,,N/A
svt_max,2,7.210133155186971,0.5,0.001,example_2.dip,3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,11.684427897135416,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_max,3,26.847222805023193,0.5,0.001,example_3.dip,3,2.5,2,4,3.25,2,4,4,3,2.25,1,102.29965392748515,"{ ""DP"": -1}","{ ""DP"": 1}"
svt_max,11,TIMEOUT,0.5,0.001,example_11.dip,3,2.8333333333333335,2,12,7.416666666666667,2,12,12,11,6.416666666666667,1,4.925458987553914,,N/A
svt_max,13,TIMEOUT,0.5,0.001,example_13.dip,3,2.857142857142857,2,14,8.428571428571429,2,14,14,13,7.428571428571429,1,4.4819966952006025,,N/A
svt_max,1,3.263395388921102,0.5,0.001,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,3.8772002855936685,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_max,12,TIMEOUT,0.5,0.001,example_12.dip,3,2.8461538461538463,2,13,7.923076923076923,2,13,13,12,6.923076923076923,1,3.5800397396087646,,N/A
svt_mix1,8,122.32712936401367,0.5,0.001,example_8.dip,3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_mix1,9,TIMEOUT,0.5,0.001,example_9.dip,3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,N/A
svt_mix1,4,18.885689338048298,0.5,0.001,example_4.dip,3,2.6,2,5,3.8,2,5,5,4,2.8,1,123.8469660282135,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_mix1,5,19.86648901303609,0.5,0.001,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_mix1,7,51.18364389737447,0.5,0.001,example_7.dip,3,2.75,2,8,5.375,2,8,8,7,4.375,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_mix1,6,37.621108611424766,0.5,0.001,example_6.dip,3,2.7142857142857144,2,7,4.857142857142857,2,7,7,6,3.857142857142857,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_mix1,10,TIMEOUT,0.5,0.001,example_10.dip,3,2.8181818181818183,2,11,6.909090909090909,2,11,11,10,5.909090909090909,1,3.293942928314209,,N/A
svt_mix1,2,4.262609004974365,0.5,0.001,example_2.dip,3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,7.1639730135599775,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_mix1,3,8.778352896372477,0.5,0.001,example_3.dip,3,2.5,2,4,3.25,2,4,4,3,2.25,1,24.253421386082966,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_mix1,1,2.9757913748423257,0.5,0.001,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,2.8908732732137046,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_mix2,8,TIMEOUT,0.5,0.001,example_8.dip,3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,N/A
svt_mix2,9,TIMEOUT,0.5,0.001,example_9.dip,3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,N/A
svt_mix2,4,327.9417766729991,0.5,0.001,example_4.dip,3,2.6,2,5,3.8,2,5,5,4,2.8,1,TIMEOUT,N/A,"{ ""DP"": 0}"
svt_mix2,5,477.45055651664734,0.5,0.001,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A,"{ ""DP"": 0}"
svt_mix2,7,TIMEOUT,0.5,0.001,example_7.dip,3,2.75,2,8,5.375,2,8,8,7,4.375,1,TIMEOUT,N/A,N/A
svt_mix2,6,132.28352069854736,0.5,0.001,example_6.dip,3,2.7142857142857144,2,7,4.857142857142857,2,7,7,6,3.857142857142857,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_mix2,10,TIMEOUT,0.5,0.001,example_10.dip,3,2.8181818181818183,2,11,6.909090909090909,2,11,11,10,5.909090909090909,1,3.708466370900472,,N/A
svt_mix2,2,15.525135199228922,0.5,0.001,example_2.dip,3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,25.243450959523518,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_mix2,3,42.81329425175985,0.5,0.001,example_3.dip,3,2.5,2,4,3.25,2,4,4,3,2.25,1,139.69314432144165,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_mix2,1,5.834110657374064,0.5,0.001,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,6.890024662017822,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_mix1_max,8,TIMEOUT,0.5,0.001,example_8.dip,3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,N/A
svt_mix1_max,9,TIMEOUT,0.5,0.001,example_9.dip,3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,N/A
svt_mix1_max,4,27.946329911549885,0.5,0.001,example_4.dip,3,2.6,2,5,3.8,2,5,5,4,2.8,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_mix1_max,5,33.456891775131226,0.5,0.001,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_mix1_max,7,353.0511013666789,0.5,0.001,example_7.dip,3,2.75,2,8,5.375,2,8,8,7,4.375,1,TIMEOUT,N/A,"{ ""DP"": 0}"
svt_mix1_max,6,219.2419640223185,0.5,0.001,example_6.dip,3,2.7142857142857144,2,7,4.857142857142857,2,7,7,6,3.857142857142857,1,TIMEOUT,N/A,"{ ""DP"": 0}"
svt_mix1_max,10,TIMEOUT,0.5,0.001,example_10.dip,3,2.8181818181818183,2,11,6.909090909090909,2,11,11,10,5.909090909090909,1,3.779900868733724,,N/A
svt_mix1_max,2,5.644133726755778,0.5,0.001,example_2.dip,3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,8.433494647343954,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_mix1_max,3,10.588816324869791,0.5,0.001,example_3.dip,3,2.5,2,4,3.25,2,4,4,3,2.25,1,35.325175523757935,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_mix1_max,1,3.7106806437174478,0.5,0.001,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,4.051725149154663,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_mix2_max,8,TIMEOUT,0.5,0.001,example_8.dip,3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,N/A
svt_mix2_max,9,TIMEOUT,0.5,0.001,example_9.dip,3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,N/A
svt_mix2_max,4,82.86718193689983,0.5,0.001,example_4.dip,3,2.6,2,5,3.8,2,5,5,4,2.8,1,TIMEOUT,N/A,"{ ""DP"": 1}"
